Year,State Name,Dist Name,RICE,WHEAT,KHARIF SORGHUM,RABI SORGHUM,SORGHUM,PEARL MILLET,MAIZE,FINGER MILLET,BARLEY,CHICKPEA,PIGEONPEA,MINOR PULSES,GROUNDNUT,SESAMUM,RAPESEED AND MUSTARD,SAFFLOWER,CASTOR,LINSEED,SUNFLOWER,SOYABEAN,OILSEEDS,SUGARCANE,COTTON,Total
1966,Chhattisgarh,Durg,548.0,44.0,0.6,0.0,0.6,0.0,3.0,0.8,0.1,54.0,37.0,114.96,0.2,3.0,1.0,0.07,0.7,45.7,0.0,0.0,50.7,0.9,0.0,905.3300000000003
1967,Chhattisgarh,Durg,547.0,50.0,1.1,0.0,1.1,0.0,3.0,0.9,0.2,52.0,36.0,269.54,0.1,11.6,1.1,0.01,0.5,100.1,0.0,0.0,113.55,0.8,0.0,1188.6000000000001
1968,Chhattisgarh,Durg,556.3,53.7,0.5,0.0,0.5,0.0,2.8,0.8,0.2,51.3,35.7,289.46,0.1,11.3,1.2,0.02,0.6,113.3,0.0,0.0,126.62,1.0,0.0,1245.4
1969,Chhattisgarh,Durg,563.4,49.4,0.8,0.0,0.8,0.0,2.7,0.8,0.2,52.6,35.7,298.18,0.1,11.4,1.2,0.02,0.5,101.1,0.0,0.0,114.14,1.0,0.0,1234.04
1970,Chhattisgarh,Durg,571.6,44.2,0.9,0.0,0.9,0.0,2.5,0.8,0.1,53.3,33.3,342.8,0.1,10.8,1.1,0.02,0.4,114.1,0.0,0.0,126.4,0.7,0.0,1304.0199999999998
1971,Chhattisgarh,Durg,581.8,44.4,0.3,0.0,0.3,0.0,2.7,0.9,0.2,50.3,33.9,351.5,0.1,10.8,1.1,0.07,0.3,111.7,0.0,0.0,124.2,0.5,0.0,1315.0699999999995
1972,Chhattisgarh,Durg,582.2,39.6,0.3,0.0,0.3,0.0,2.8,0.8,0.1,52.3,32.8,331.8,0.1,10.4,1.2,0.0,0.3,111.7,0.0,0.0,123.8,0.5,0.0,1290.9999999999998
1973,Chhattisgarh,Durg,600.0,37.3,0.2,0.0,0.2,0.0,2.9,0.8,0.1,56.4,32.2,352.6,0.1,9.6,1.2,0.0,0.2,118.8,0.0,0.0,130.2,0.2,0.0,1343.0
1974,Chhattisgarh,Durg,587.4,36.5,0.5,0.0,0.5,0.0,2.9,0.8,0.2,54.9,32.5,153.1,0.0,9.9,1.4,0.0,0.2,85.0,0.0,0.0,96.8,0.8,0.0,1063.3999999999999
1975,Chhattisgarh,Durg,598.3,49.2,0.2,0.0,0.2,0.0,2.9,0.8,0.2,58.3,34.2,320.2,0.0,8.6,1.6,0.1,0.2,120.7,0.0,0.0,131.5,0.8,0.0,1327.9999999999998
