Year,State Name,Dist Name,RICE,WHEAT,KHARIF SORGHUM,RABI SORGHUM,SORGHUM,PEARL MILLET,MAIZE,FINGER MILLET,BARLEY,CHICKPEA,PIGEONPEA,MINOR PULSES,GROUNDNUT,SESAMUM,RAPESEED AND MUSTARD,SAFFLOWER,CASTOR,LINSEED,SUNFLOWER,SOYABEAN,OILSEEDS,SUGARCANE,COTTON,Total
1966,Chhattisgarh,Durg,185.0,20.0,0.4,0.0,0.4,0.0,2.0,0.2,0.0,27.0,15.0,0.0,0.1,0.3,0.2,0.0,0.2,6.8,0.0,0.0,0.0,1.6,0.0,257.2
1967,Chhattisgarh,Durg,409.0,26.0,0.9,0.0,0.9,0.0,3.0,0.2,0.1,15.0,26.0,0.0,0.1,0.9,0.3,0.0,0.1,25.8,0.0,0.0,0.0,1.2,0.0,507.5
1968,Chhattisgarh,Durg,468.0,30.0,0.4,0.0,0.4,0.0,2.0,0.2,0.1,23.0,28.0,0.0,0.1,1.6,0.5,0.0,0.3,23.8,0.0,0.0,0.0,1.0,0.0,577.3999999999999
1969,Chhattisgarh,Durg,400.8,26.5,0.6,0.0,0.6,0.0,2.3,0.2,0.1,23.1,27.3,98.3,0.1,1.4,0.4,0.0,0.1,13.0,0.0,0.0,14.9,1.9,0.0,611.6
1970,Chhattisgarh,Durg,473.6,29.0,0.6,0.0,0.6,0.0,3.3,0.2,0.1,32.6,35.2,142.9,0.1,1.1,0.4,0.0,0.1,22.7,0.0,0.0,24.3,1.4,0.0,768.2000000000002
1971,Chhattisgarh,Durg,412.9,25.8,0.2,0.0,0.2,0.0,3.1,0.2,0.1,32.8,34.6,154.9,0.0,1.0,0.4,0.0,0.1,18.5,0.0,0.0,20.2,1.0,0.0,706.0000000000001
1972,Chhattisgarh,Durg,381.0,20.6,0.3,0.0,0.3,0.0,3.2,0.1,0.1,32.6,42.4,100.6,0.0,1.9,0.7,0.0,0.1,22.7,0.0,0.0,25.4,1.0,0.0,633.0000000000001
1973,Chhattisgarh,Durg,471.9,18.6,0.2,0.0,0.2,0.0,2.7,0.2,0.1,32.4,22.8,106.4,0.0,1.3,0.7,0.0,0.1,28.0,0.0,0.0,30.3,1.2,0.0,717.0999999999999
1974,Chhattisgarh,Durg,219.0,22.4,0.4,0.0,0.4,0.0,2.9,0.3,0.1,41.0,37.6,61.3,0.0,1.4,0.8,0.0,0.1,21.4,0.0,0.0,23.9,1.5,0.0,434.5
1975,Chhattisgarh,Durg,454.0,27.8,0.2,0.0,0.2,0.0,2.9,0.2,0.2,30.2,26.7,121.2,0.0,0.9,0.9,0.0,0.1,28.7,0.0,0.0,30.8,1.4,0.0,726.4
1976,Chhattisgarh,Durg,327.1,10.0,0.1,0.0,0.1,0.0,2.0,0.2,0.1,13.4,11.3,34.0,0.0,0.4,0.1,0.0,0.1,6.5,0.0,0.0,7.1,0.8,0.0,413.3000000000001
1977,Chhattisgarh,Durg,572.4,27.1,0.1,0.0,0.1,0.0,2.8,0.2,0.1,17.7,16.0,101.7,0.0,1.0,0.3,0.0,0.1,23.2,0.0,0.0,24.5,0.3,0.0,787.6000000000001
