Year,State Name,Dist Name,RICE,WHEAT,KHARIF SORGHUM,RABI SORGHUM,SORGHUM,PEARL MILLET,MAIZE,FINGER MILLET,BARLEY,CHICKPEA,PIGEONPEA,MINOR PULSES,GROUNDNUT,SESAMUM,RAPESEED AND MUSTARD,SAFFLOWER,CASTOR,LINSEED,SUNFLOWER,SOYABEAN,OILSEEDS,SUGARCANE,COTTON,Total
1966,Chhattisgarh,Durg,337.59,454.55,666.67,0.0,666.67,0.0,666.67,250.0,0.0,500.0,405.41,0.0,500.0,100.0,200.0,0.0,285.71,148.8,0.0,0.0,0.0,1777.78,0.0,6957.849999999999
1967,Chhattisgarh,Durg,747.71,520.0,818.18,0.0,818.18,0.0,1000.0,222.22,500.0,288.46,722.22,0.0,1000.0,77.59,272.73,0.0,200.0,257.74,0.0,0.0,0.0,1500.0,0.0,8943.03
1968,Chhattisgarh,Durg,841.27,558.66,800.0,0.0,800.0,0.0,714.29,250.0,500.0,448.34,784.31,0.0,1000.0,141.59,416.67,0.0,500.0,210.06,0.0,0.0,0.0,1000.0,0.0,8963.189999999999
1969,Chhattisgarh,Durg,711.4,536.44,750.0,0.0,750.0,0.0,851.85,250.0,500.0,439.16,764.71,329.67,1000.0,122.81,333.33,0.0,200.0,128.59,0.0,0.0,130.54,1900.0,0.0,9698.5
1970,Chhattisgarh,Durg,828.55,656.11,666.67,0.0,666.67,0.0,1320.0,250.0,1000.0,611.63,1057.06,416.86,1000.0,101.85,363.64,0.0,250.0,198.95,0.0,0.0,192.25,2000.0,0.0,11580.24
1971,Chhattisgarh,Durg,709.69,581.08,666.67,0.0,666.67,0.0,1148.15,222.22,500.0,652.09,1020.65,440.68,0.0,92.59,363.64,0.0,333.33,165.62,0.0,0.0,162.64,2000.0,0.0,9725.720000000001
1972,Chhattisgarh,Durg,654.41,520.2,1000.0,0.0,1000.0,0.0,1142.86,125.0,1000.0,623.33,1292.68,303.19,0.0,182.69,583.33,0.0,333.33,203.22,0.0,0.0,205.17,2000.0,0.0,11169.41
1973,Chhattisgarh,Durg,786.5,498.66,1000.0,0.0,1000.0,0.0,931.03,250.0,1000.0,574.47,708.07,301.76,0.0,135.42,583.33,0.0,500.0,235.69,0.0,0.0,232.72,6000.0,0.0,14737.65
1974,Chhattisgarh,Durg,372.83,613.7,800.0,0.0,800.0,0.0,1000.0,375.0,500.0,746.81,1156.92,400.39,0.0,141.41,571.43,0.0,500.0,251.76,0.0,0.0,246.9,1875.0,0.0,10352.15
1975,Chhattisgarh,Durg,758.82,565.04,1000.0,0.0,1000.0,0.0,1000.0,250.0,1000.0,518.01,780.7,378.51,0.0,104.65,562.5,0.0,500.0,237.78,0.0,0.0,234.22,1750.0,0.0,10640.23
